meas_min,argu_min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_max,argu_max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_default,argu_default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,type
ChangeInsulationRValueForExteriorWalls,r_value,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,3.2,3.2,3.2,3.2,3.2,3.2,ChangeInsulationRValueForExteriorWalls,r_value,3.05,3.05,3.05,3.15,3.05,3.17,4.32,4.14,4.41,5.11,4.91,5.6,5.6,6.06,6.7,ChangeInsulationRValueForExteriorWalls,r_value,3.05,3.05,3.05,3.15,3.05,3.17,4.32,4.14,4.41,5.11,4.91,5.6,5.6,6.06,6.7,3
ChangeInsulationRValueForRoofs,r_value_roof,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.8,7.8,7.8,7.8,7.8,7.8,ChangeInsulationRValueForRoofs,r_value_roof,8.88,8.88,8.88,8.88,8.88,8.88,10.52,10.13,10.64,12.77,12.03,15.53,15.53,15.53,15.53,ChangeInsulationRValueForRoofs,r_value_roof,8.88,8.88,8.88,8.88,8.88,8.88,10.52,10.13,10.64,12.77,12.03,15.53,15.53,15.53,15.53,3
ChangeUValueandSHGCOfWindows,window_u_value_ip,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.62,0.62,0.62,0.62,0.62,0.62,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.72,0.72,0.72,0.72,0.72,0.72,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.62,0.62,0.62,0.62,0.62,0.62,2
ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,ChangeUValueandSHGCOfWindows,window_shgc,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.72,0.72,0.72,0.72,0.72,0.72,ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,2
SetGasBurnerEfficiency,eff,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SetGasBurnerEfficiency,eff,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,SetGasBurnerEfficiency,eff,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,3
ReplaceLightsInSpaceTypeWithLPD,lpd,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,ReplaceLightsInSpaceTypeWithLPD,lpd,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,ReplaceLightsInSpaceTypeWithLPD,lpd,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,3
ChangeCOPforSingleSpeedDXCoolingUnits,cop,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,ChangeCOPforSingleSpeedDXCoolingUnits,cop,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,ChangeCOPforSingleSpeedDXCoolingUnits,cop,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,2
SetHeatingandCoolingSizingFactors,htg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetHeatingandCoolingSizingFactors,clg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
ChangeFloortoFloorHeightWarehouse,floor_to_floor_height_ip,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,ChangeFloortoFloorHeightWarehouse,floor_to_floor_height_ip,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ChangeFloortoFloorHeightWarehouse,floor_to_floor_height_ip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ChangeOutdoorAir,design_spec_outdoor_air_per_area,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,ChangeOutdoorAir,design_spec_outdoor_air_per_area,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,ChangeOutdoorAir,design_spec_outdoor_air_per_area,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
